City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
247,Priyutnoye,46.1011,43.5072,51.62,43,53,10.29,RU,2021-10-10 16:19:55,broken clouds
248,Tirumullaivasal,11.2333,79.8333,77.61,93,100,12.8,IN,2021-10-10 16:19:56,heavy intensity rain
249,Mushie,-3.0167,16.9,80.04,79,100,6.35,CD,2021-10-10 16:19:56,light rain
250,Seoul,37.5683,126.9778,61.99,63,100,7.96,KR,2021-10-10 16:15:11,light rain
251,Imbituba,-28.24,-48.6703,69.69,73,100,11.3,BR,2021-10-10 16:19:56,overcast clouds
252,Mulanje,-16.0316,35.5,85.41,23,0,12.21,MW,2021-10-10 16:19:57,clear sky
253,Kyabe,9.4515,18.9449,84.42,73,100,2.44,TD,2021-10-10 16:19:57,overcast clouds
254,Pevek,69.7008,170.3133,22.39,91,100,6.2,RU,2021-10-10 16:19:57,overcast clouds
255,Balykshi,47.0667,51.8667,50.0,53,0,8.95,KZ,2021-10-10 16:19:58,clear sky
256,Yar-Sale,66.8333,70.8333,28.42,93,72,10.31,RU,2021-10-10 16:19:58,broken clouds
257,Nanortalik,60.1432,-45.2371,39.04,51,23,8.5,GL,2021-10-10 16:19:35,few clouds
258,Husavik,66.0449,-17.3389,39.11,95,99,4.81,IS,2021-10-10 16:19:59,overcast clouds
259,Cherskiy,68.75,161.3,-0.69,99,84,5.59,RU,2021-10-10 16:19:59,broken clouds
260,Geraldton,-28.7667,114.6,52.21,82,100,3.44,AU,2021-10-10 16:19:27,overcast clouds
